gen,year,group,favorites
5,2023,PRIMROSE,
5,2023,MAVE,
5,2023,STARDAYS,
5,2023,ONEST,
5,2023,THE7,
5,2023,8TURN,
5,2023,BXB,
5,2023,Clair,
5,2023,tripleS,
5,2023,LIMELIGHT,
5,2023,HAWW,
5,2023,Ascension,
5,2023,A-plus,
5,2023,PLAVE,
5,2023,LA FLOR,
5,2023,QI.X,
5,2023,WE,
5,2023,xikers,
5,2023,Delight,
5,2023,WE US,
5,2023,X,
5,2023,ANTARES,
5,2023,NCT DOJAEJUNG,
5,2023,XODIAC,
5,2023,CMDM,
5,2023,"""=+(KR)ystal Eyes (tripleS)",
5,2023,ADYA,
5,2023,FE,
5,2023,(M)IRROR,
5,2023,The Wind,
5,2023,Closer,
5,2023,Redplum,
5,2023,BOYNEXTDOOR,
5,2023,NINE to SIX (DKZ),
5,2023,ACID EYES (tripleS),
5,2023,LUN8,
5,2023,Bunny.T,
5,2023,Babys,
5,2023,Hi-Fi Un!corn,
5,2023,T5 (TREASURE),
5,2023,KISS OF LIFE,
5,2023,Lucid,
5,2023,ZEROBASEONE,
5,2023,E,
5,2023,BBGIRLS,
5,2023,LOVElution (tripleS),
5,2023,RIIZE,
5,2023,EL7Z UP,
5,2023,Loossemble,
5,2023,EVNNE,
5,2023,FANTASY BOYS,
5,2023,82MAJOR,
5,2023,EVOLution (tripleS),
5,2023,POW,
5,2023,QWER,
5,2023,YOUNG POSSE,
5,2023,NIZIU,
5,2023,Catch The Young,
5,2023,WHIB,
5,2023,AMPERS&ONE,
5,2023,EASTSHINE,
5,2023,LUN8wave (LUN8),
5,2023,BABYMONSTER,
5,2023,ONE PACT,
5,2023,NXT (tripleS),
5,2024,Geenius,
5,2024,WAKER,
5,2024,ALL(H)OURS,
5,2024,Aria (tripleS),
5,2024,DXMON,
5,2024,TWS,
5,2024,N-DAY,
5,2024,VCHA,
5,2024,NCT WISH,
5,2024,NOMAD,
5,2024,ILLIT,
5,2024,UNIS,
5,2024,RESCENE,
5,2024,Candy Shop,
5,2024,BABYMONSTER,
5,2024,VVUP,
5,2024,SPIA,
5,2024,NOWADAYS,
5,2024,ME,
5,2024,UNICODE,
5,2024,Big Ocean,
5,2024,TIOT,
5,2024,TOZ,
5,2024,DayChild,
5,2024,ASC2NT,
5,2024,tripleS,
5,2024,B-OURS,
5,2024,NEXZ,
5,2024,WATERFIRE,
5,2024,ARTMS,
5,2024,NextU,
5,2024,BADVILLAIN,
5,2024,I,
5,2024,IS,
5,2024,tripleS Glow,
5,2024,F.CUZ Sons,
5,2024,B.D.U,
5,2024,BLINGONE-PE,
5,2024,ASTELL,
5,2024,DIGNITY,
5,2024,KAVE,
5,2024,UNISON,
5,2024,Celest1a,
5,2024,Clear,
5,2024,3piece,
5,2024,ARrC,
5,2024,Gen1es,
5,2024,GENBLUE,
5,2024,MADEIN,
5,2024,L5ST,
5,2024,MEOVV,
5,2024,Dragon Pony,
5,2024,New-L,
5,2024,SAY MY NAME,
5,2024,Vision@ry Vision [tripleS],
5,2024,ODD YOUTH,
5,2024,Toth6y [PinkFantasy X TMC],
5,2024,W!TCHX,
5,2024,13Found,
5,2024,LOVEONE,
5,2024,KELT9b,
5,2024,izna,
5,2024,T,
5,2024,KYSB,
5,2024,QUESTIONMARK,
5,2025,XLOV,
5,2025,Kandis,
5,2025,KickFlip,
5,2025,IRISÉ,
5,2025,AWIN,
5,2025,Hearts2Hearts,
5,2025,NouerA,
5,2025,3WAY,
5,2025,SUNNYKEY,
5,2025,IN A MINUTE,
5,2025,KiiiKiii,
5,2025,NEWBEAT,
5,2025,REKIREM,
5,2025,XY,
5,2025,Hi-Dream,
5,2025,M.prism,
5,2025,RE,
5,2025,CLOSE YOUR EYES,
5,2025,ifeye,
5,2025,cosmosy,
5,2025,OSDS,
5,2025,HITGS,
5,2025,UDTT,
5,2025,ablume,
5,2025,MECHANISM,
5,2025,LADYBOUNCE,
5,2025,UAU [Dreamcatcher],
5,2025,KIIRAS,
5,2025,XD [formerly XEED],
5,2025,USPEER,
5,2025,Re,
5,2025,Double 0ne [FANTASY BOYS X BAE173],
5,2025,XONIK,
5,2025,BE BOYS,
5,2025,BANGTAN PINK,
5,2025,OX,
5,2025,DIVA-X,
5,2025,Baby DONT Cry,
5,2025,ALLDAY PROJECT,
5,2025,KIK,
5,2025,AHOF,
5,2025,CrazAngel,
5,2025,Tomatomat,
5,2025,Nerd on Skate,
5,2025,FIRR,
5,2025,1VERSE,
5,2025,4X4,
5,2025,Brown Tigger Band,
5,2025,XngHan&Xoul,
5,2025,Rainbow18 [RAINBOW],
5,2025,N.TOP,
5,2025,unevermet [idntt],
5,2025,AtHeart,
5,2025,DADADA,
5,2025,MADEIN S [MADEIN],
5,2025,TDYA,
5,2025,Backstage boys,
5,2025,CORTIS,
5,2025,nnn,
5,2025,IXIA,
5,2025,iii,
5,2025,NWH,
5,2025,ARVVY,
5,2025,E11iVYN,
5,2025,AM8IC,
5,2025,msnz [tripleS],
5,2025,UX1 [UKISS],
5,2025,MEPC,
