gen,year,group,favorites
1,1992,Seo Taiji and the Boys,
1,1995,Turbo,
1,1996,ECO,
1,1996,BB,
1,1996,H.O.T,
1,1997,Jinusean,
1,1997,SECHSKIES,
1,1997,Baby V.O.X,
1,1997,DIVA,
1,1997,Julliet,
1,1997,NRG,
1,1997,S.E.S,
1,1998,SHINHWA,
1,1998,Fin.K.L,
1,1998,Circle,
1,1998,Hans Band,
1,1998,1TYM,
1,1998,O-24,
1,1999,G.O.D,
1,1999,O-24,
1,1999,CLEO,
1,1999,Click B,
1,2000,Chakra,
1,2000,BoA,"Minji & Eunice"
1,2001,PSY,
1,2001,Nell,
1,2001,Jewelry,
1,2001,K’POPULATION,
1,2001,AL,
1,2001,KISS,
1,2001,M.I.L.K,
1,2001,5TION,
1,2002,Black Beat,
1,2002,LUV,
1,2002,F-iV,
2,2003,Big Mama,
2,2003,Epik High,Minji
2,2003,TVXQ!,
2,2004,SG Wannabe,
2,2004,V.O.S,
2,2005,Baechigi,
2,2005,Lady,
2,2005,The Grace,
2,2005,SS501,
2,2005,LPG,
2,2005,Super Junior,"Minji & Eunice"
2,2005,Gavy NJ,
2,2006,Brown Eyed Girls,
2,2006,Big Bang,"Minji & Eunice"
2,2006,A.sia,
2,2007,Wonder Girls,
2,2007,Baby V.O.X Re.V,
2,2007,KARA,
2,2007,FTISLAND,
2,2007,Black Pearl,
2,2007,Girls’ Generation,Minji
2,2007,8Eight,
2,2007,Sunny Hill,
2,2007,Tritops,
2,2008,Davichi,
2,2008,Mighty Mouth,
2,2008,SHINee,Minji
2,2008,2AM,
2,2008,U-KISS,
2,2008,2PM,
2,2009,After School,
2,2009,2NE1,Minji
2,2009,4Minute,
2,2009,Sweet Revenge,
2,2009,T-ARA,
2,2009,Urban Zakapa,
2,2009,f(x),
2,2009,SHU-I,
2,2009,4Tomorrow,
2,2009,JQT,
2,2009,SECRET,
2,2009,B2ST/Highlight,
2,2009,MBLAQ,
2,2009,December,
2,2009,RAINBOW,
2,2010,ZE,
2,2010,F.CUZ,
2,2010,CNBLUE,
2,2010,DGNA,
2,2010,SISTAR,
2,2010,Infinite,
2,2010,Orange Caramel,
2,2010,Miss A,
2,2010,Girl’s Day,
2,2010,Teen Top,
2,2010,Nine Muses,
2,2010,GP Basic,
2,2010,B.Dolls,
2,2010,LedApple,
2,2010,Co-ed School,
2,2011,Dal Shabet,
2,2011,Piggy Dolls,
2,2011,F-ve Dolls,
2,2011,BB Ahn,
2,2011,Bella,
2,2011,CHI CHI,
2,2011,SWINCLE,
2,2011,RaNia,
2,2011,Brave Girls,
2,2011,Block B,
2,2011,Apink,
2,2011,B1A4,
2,2011,Blady,
2,2011,BF (formerly Boyfriend),
2,2011,Carcaro Girl,
2,2011,ChoColat,
2,2011,Stellar,
2,2011,C-REAL,
2,2011,M.I.B,
2,2011,MYNAME,
2,2011,New.F.O,
3,2012,Airplane,
3,2012,B.A.P,
3,2012,Six Bomb,
3,2012,SPICA,
3,2012,EXID,
3,2012,NU’EST,
3,2012,BTOB,
3,2012,EXO,Minji
3,2012,TaeTiSeo,
3,2012,Hello Venus,
3,2012,JJProject,
3,2012,She’Z,
3,2012,Sunny Days,
3,2012,VIXX,
3,2012,A-JAX,
3,2012,Cross Gene,
3,2012,FlaShe,
3,2012,BIGSTAR,
3,2012,C-CLOWN,
3,2012,GLAM,
3,2012,Tahiti,
3,2012,Crayon Pop,
3,2012,D-UNIT,
3,2012,Tiny-G,
3,2012,AOA,
3,2012,EvoL,
3,2012,Skarf,
3,2012,Two X,
3,2012,E7,
3,2012,FIESTAR,
3,2012,PURETTY,
3,2012,24K+,
3,2012,NEP,
3,2012,BBde Girl,
3,2012,100%,
3,2012,Goddess,
3,2012,84LY,
3,2012,A.Cian,
3,2012,Queen B’Z,
3,2012,The Seeya,
3,2013,Pascol,
3,2013,Year 7 Class 1,
3,2013,SPEED,
3,2013,BPPOP,
3,2013,2YOON,
3,2013,MFBTY,
3,2013,PURPLAY,
3,2013,Ladies’ Code,
3,2013,Global Icon,
3,2013,Pure,
3,2013,Delight,
3,2013,HISTORY,
3,2013,LC9,
3,2013,AltheA,
3,2013,Boys’ Republic,
3,2013,BTS,Minji
3,2013,2Eyes,
3,2013,fishingirls,
3,2013,HINT,
3,2013,AOA Black,
3,2013,BESTie,
3,2013,Live High,
3,2013,M.Pire,
3,2013,WA$$UP,
3,2013,Royal Pirates,
3,2013,AGIRLS,
3,2013,Topp Dogg,
3,2013,TINT,
3,2013,AlphaBAT,
3,2013,K-Girls,
3,2013,Pungdeng-E,
3,2014,BEATWIN,
3,2014,Be.A,
3,2014,Bebop,
3,2014,Year 7 Class 1,
3,2014,Aila,
3,2014,GOT7,
3,2014,Kiss&Cry,
3,2014,4G,
3,2014,Lip Service,
3,2014,Melody Day,
3,2014,1PS,
3,2014,A-FATI,
3,2014,Scarlet,
3,2014,Sunny Days Real Vocal,
3,2014,Wings,
3,2014,Tri,
3,2014,BADKIZ,
3,2014,Troy,
3,2014,Billion,
3,2014,JJCC,
3,2014,Alice White,
3,2014,SEENROOT,
3,2014,AKMU,
3,2014,High4,
3,2014,Pritz,
3,2014,BTL,
3,2014,Bay.B,
3,2014,Berry Good,
3,2014,Champagne & Candle,
3,2014,Bob Girls,
3,2014,Mamamoo,
3,2014,Bigflo,
3,2014,Halo,
3,2014,LU4US,
3,2014,B.I.G,
3,2014,The LEGEND,
3,2014,Lucky J,
3,2014,Ye-A,
3,2014,Red Velvet,
3,2014,4L,
3,2014,WINNER,
3,2014,Chaness,
3,2014,D.HOLIC,
3,2014,4TEN,
3,2014,Laboum,
3,2014,A.KOR,
3,2014,A.N.D.S,
3,2014,N*White,
3,2014,MINX,
3,2014,Walking After U,
3,2014,ZPZG,
3,2014,MADTOWN,
3,2014,UNIQ,
3,2014,Purfles,
3,2014,HOTSHOT,
3,2014,Lovelyz,
3,2014,5URPRISE,
3,2014,The King,
3,2014,A-Daily,
3,2014,SONAMOO,
3,2015,GFriend,
3,2015,Dawg’loo,
3,2015,Rubber Soul,
3,2015,Bursters,
3,2015,A-Plus,
3,2015,Chamsonyeo,
3,2015,Plan C,
3,2015,Dongnae Oppa,
3,2015,Fri.D,
3,2015,CLC,
3,2015,Pocket Girls,
3,2015,The Ark,
3,2015,OH MY GIRL,
3,2015,M.Fect,
3,2015,Romeo,
3,2015,LAYSHA,
3,2015,MONSTA X,
3,2015,TWEETY,
3,2015,N.Flying,
3,2015,Seventeen,
3,2015,Drug Restaurant,
3,2015,Baby Boo,
3,2015,Vitamin Angel,
3,2015,Awe5someBaby,
3,2015,Asha,
3,2015,Bambino,
3,2015,PLAYBACK,
3,2015,LoveUs,
3,2015,As One/AS1,
3,2015,Wanna.B,
3,2015,10X10,
3,2015,APRIL,
3,2015,MyB,
3,2015,Unicorn,
3,2015,DAY6,
3,2015,UP10TION,
3,2015,ACE,
3,2015,DIA,
3,2015,iKON,
3,2015,VIVIDIVA,
3,2015,A.H.H.A,
3,2015,HADY,
3,2015,Hotties,
3,2015,ATT,
3,2015,Icia,
3,2015,TWICE,
3,2015,PPL,
3,2015,VAV,
3,2015,MAP6,
3,2015,Dia Girls,
3,2015,I.C.E,
3,2015,SNUPER,
3,2015,Road Boyz,
3,2015,UNIZ,
3,2015,Goodnight Stand,
3,2015,GIRLSGIRLS,
3,2016,IMFACT,
3,2016,Bloomy,
3,2016,VOISPER,
3,2016,AOA Cream,
3,2016,WABLE,
3,2016,ASTRO,
3,2016,BaBa,
3,2016,Cosmic Girls/WJSN,
3,2016,KNK,
3,2016,Mercury,
3,2016,Holics,
3,2016,MATILDA,
3,2016,NCT,
3,2016,NCT U,
3,2016,Coda Bridge,
3,2016,PIU,
3,2016,MIXX,
3,2016,Sol-T,
3,2016,Bling,
3,2016,IOI,
3,2016,BgA,
3,2016,New-A,
3,2016,AFOS,
3,2016,O21,
3,2016,A.DE,
3,2016,Gugudan,
3,2016,NCT 127,
3,2016,Vromance,
3,2016,Lucky Girls,
3,2016,INX,
3,2016,9Muses A,
3,2016,BLACKPINK,
3,2016,Dorothy,
3,2016,New Town Boyz,
3,2016,I.B.I,
3,2016,MASC,
3,2016,NCT DREAM,
3,2016,AxisB,
3,2016,Queendom/Sixth Sense,
3,2016,SF9,
3,2016,PENTAGON,
3,2016,Highteen,
3,2016,Oh!Bliss,
3,2016,Bulldok,
3,2016,BLITY,
3,2016,TheEastLight,
3,2016,DICE,
3,2016,DIP.MX,
3,2016,VICTON,
3,2016,MOMOLAND,
3,2016,Ureka,
3,2016,Sunny Girls,
3,2016,HeyMiss,
3,2016,Seoulmoon,
3,2017,Bonus Baby,
3,2017,TST,
3,2017,VARSITY,
3,2017,WALWARI,
3,2017,Dreamcatcher,Minji
3,2017,H2L,
3,2017,3RACHA (Stray Kids),
3,2017,B.HEART,
3,2017,H.U.B,
3,2017,TITAN,
3,2017,Chic Angel,
3,2017,AWESOME,
3,2017,Rose Queen,
3,2017,BLANC7,
3,2017,LOONA 1/3,
3,2017,MVP,
3,2017,Seven O’Clock,
3,2017,PRISTIN,
3,2017,LIPBUBBLE,
3,2017,Berry Chu,
3,2017,A-Seed,
3,2017,Charari Danchu,
3,2017,BLACK6IX,
3,2017,Unit Black,
3,2017,2Wenty’s,
3,2017,Triple H,
3,2017,Vitamin,
3,2017,HONEYST,
3,2017,A.C.E,
3,2017,MARMELLO,
3,2017,Girls’ Alert,
3,2017,S2U,
3,2017,South Club,
3,2017,ELVIN CREW,
3,2017,ELRIS,
3,2017,G-reyish,
3,2017,SET,
3,2017,Vermuda,
3,2017,ZZBae,
3,2017,RAMISU,
3,2017,Favorite,
3,2017,LIMESODA,
3,2017,Girls Next Door,
3,2017,KARD,
3,2017,14U,
3,2017,Cashcoma,
3,2017,Pride Band,
3,2017,MYTEEN,
3,2017,P.O.P,
3,2017,Apple.B,
3,2017,ONF,
3,2017,The Rose,
3,2017,Wanna One,
3,2017,Weki Meki,
3,2017,AMOR,
3,2017,BEBE6,
3,2017,Hot Blood Youth,
3,2017,S2,
3,2017,GreatGuys,
3,2017,S.I.S,
3,2017,Golden Child,
3,2017,Good Day,
3,2017,IZ,
3,2017,IM66,
3,2017,The Singing Girls,
3,2017,BAIKAL,
3,2017,ODD EYE CIRCLE,
3,2017,TRCNG,
3,2017,Hashtag,
3,2017,Hi Cutie,
3,2017,RAINZ,
3,2017,VIVA,
3,2017,JBJ,
3,2017,GEEGU,
3,2017,IN2IT,
3,2017,U.SSO Girl,
3,2017,ABRY,
3,2017,O My Jewel,
3,2017,Hey Girls,
3,2017,Blah Blah,
3,2017,Chloris,
3,2017,Yellow Bee,
3,2017,Busters β,
3,2017,BLK,
3,2017,1NB,
3,2017,THE BOYZ,
4,2018,OG School Project,
4,2018,GIRLKIND,
4,2018,fromis_9,
4,2018,TARGET,
4,2018,Celeb Five,
4,2018,N.TIC,
4,2018,Sha Sha,
4,2018,AZM,
4,2018,W24,
4,2018,SIOSIJAK,
4,2018,BSS (SEVENTEEN),
4,2018,HONEY POPCORN,
4,2018,Stray Kids,
4,2018,D,
4,2018,OH MY GIRL BANHANA,
4,2018,YDPP,
4,2018,UNB,
4,2018,NOIR,
4,2018,BNF,
4,2018,My Darling,
4,2018,GBB,
4,2018,(G)I-DLE,Minji
4,2018,SPECTRUM,
4,2018,UNI.T,
4,2018,Prism,
4,2018,NTB,
4,2018,Pristin V,
4,2018,LOONA YYXY,
4,2018,Fly With Me,
4,2018,Neon Punch,
4,2018,MUSKY,
4,2018,SEMINA,
4,2018,Like A Movie,
4,2018,Saturday,
4,2018,AiRiSU,
4,2018,Nature,
4,2018,D-CRUNCH,
4,2018,First Bite,
4,2018,Cherry On Top,
4,2018,DIH,
4,2018,LOONA,
4,2018,ALiKE,
4,2018,CAMILA,
4,2018,TROPICAL,
4,2018,WeGirls,
4,2018,Kitten Girls,
4,2018,GWSN,
4,2018,Oh!GG,
4,2018,YJIG,
4,2018,Red-In-Ear,
4,2018,LUCENTE,
4,2018,Purple,
4,2018,DESTINY,
4,2018,Sugar Tint,
4,2018,Rose Finger,
4,2018,The Man BLK,
4,2018,Blue Fox,
4,2018,LST,
4,2018,Maywish,
4,2018,S#aFla,
4,2018,ATEEZ,
4,2018,Pink Fantasy,
4,2018,IZ*ONE,
4,2018,PIERCE,
4,2018,JBJ95,
4,2018,K/DA,
4,2018,Fallanc,
4,2018,A Train to Autumn,
4,2018,Dreamnote,
4,2018,MAXXAM,
4,2018,Flavor,
4,2018,MustB,
4,2018,DIAWINGS,
4,2018,flor_us,
4,2019,M.O.N.T,
4,2019,ONEUS,
4,2019,PLATINUM,
4,2019,VERIVERY,
4,2019,WayV,
4,2019,Cherry Bullet,
4,2019,CoCo,
4,2019,AWEEK,
4,2019,Refiners,
4,2019,ITZY,
4,2019,VANNER,
4,2019,TREI,
4,2019,The Pink Lady,
4,2019,Z-Boys,
4,2019,Z-Girls,
4,2019,AZM,
4,2019,TXT,
4,2019,JUS2,
4,2019,ASTIN,
4,2019,D.A.N,
4,2019,ARGON,
4,2019,4CARAT,
4,2019,The T-Bird,
4,2019,Everglow,
4,2019,Pink Fantasy SHY,
4,2019,1TEAM,
4,2019,Hot Place,
4,2019,Girl Crush,
4,2019,BVNDIT,
4,2019,PEACE,
4,2019,1THE9,
4,2019,API,
4,2019,ENOi,
4,2019,HIGH SCHOOL,
4,2019,DONGKIZ,
4,2019,New Kidd,
4,2019,I LUV,
4,2019,GROW.B,
4,2019,ONEWE,
4,2019,3YE,
4,2019,AB6IX,
4,2019,We In The Zone,
4,2019,OnlyOneOf,
4,2019,Black Bunny,
4,2019,White Day,
4,2019,Blue Zone Boys,
4,2019,Purple Beck,
4,2019,LUSTY,
4,2019,CICI,
4,2019,If Enough,
4,2019,LIMITLESS,
4,2019,UHSN,
4,2019,CIX,
4,2019,D1CE,
4,2019,CSVC,
4,2019,Fanatics,
4,2019,VENUS,
4,2019,Rocket Punch,
4,2019,N.CUS,
4,2019,X1,
4,2019,SIGNAL,
4,2019,Lalary,
4,2019,VIOLET,
4,2019,ANS,
4,2019,TEEN TEEN,
4,2019,K-Tigers Zero,
4,2019,Melody Pink,
4,2019,Super M,
4,2019,ICU,
4,2019,ARIAZ,
4,2019,BDC,
4,2019,HINAPIA,
4,2019,SKYGIRLS,
4,2019,BUILD UP,
4,2019,JXR,
4,2019,D1VERSE,
4,2019,HWAITING,
4,2020,DUSTIN,
4,2020,Half Moon,
4,2020,2Z,
4,2020,Poetic Narrator,
4,2020,cignature,
4,2020,DKB,
4,2020,Episode,
4,2020,Daydream,
4,2020,UNVS,
4,2020,XENEX,
4,2020,MCND,
4,2020,CRAXY,
4,2020,Girls2ooo,
4,2020,MY.st,
4,2020,TO1,
4,2020,Bandage,
4,2020,CRAVITY,
4,2020,KAACHI,
4,2020,Burvey,
4,2020,LUCY,
4,2020,WOOAH (formerly woo!ah!),
4,2020,REDSQUARE,
4,2020,Secret Number,
4,2020,Like Me,
4,2020,E’LAST,
4,2020,Weeekly,
4,2020,Blastar,
4,2020,Chic&Idle,
4,2020,Maka Maka,
4,2020,TREASURE,
4,2020,FLORIA,
4,2020,AREAL,
4,2020,Byulzzi,
4,2020,Tier 4,
4,2020,BOTOPASS,
4,2020,Luminous Elf,
4,2020,LUNARSOLAR,
4,2020,Checkmate,
4,2020,XUM,
4,2020,GHOST9,
4,2020,PRECIOUS,
4,2020,Q6IX,
4,2020,Wiz N,
4,2020,WEi,
4,2020,Re,
4,2020,WJSN CHOCOME,
4,2020,Refund Sisters,
4,2020,BLACKSWAN,
4,2020,Asome.D,
4,2020,DRIPPIN,
4,2020,P1Harmony,
4,2020,PRISMA,
4,2020,BXK,
4,2020,STAYC,
4,2020,NEKIRU,
4,2020,aespa,
4,2020,BlingBling,
4,2020,Bae173,
4,2020,Q.O.S,
4,2020,ENHYPEN,
4,2020,Rolling Quartz,
4,2021,T1419,
4,2021,SRZN,
4,2021,QODES,
4,2021,TRI.BE,
4,2021,The KingDom (formerly KINGDOM),
4,2021,PIXY,
4,2021,ATO6,
4,2021,AZER,
4,2021,WOW,
4,2021,MAJORS,
4,2021,CIIPHER,
4,2021,PURPLE KISS,
4,2021,Cookie,
4,2021,MIRAE,
4,2021,Eternity,
4,2021,AR3NA,
4,2021,NTX,
4,2021,W.A.O,
4,2021,HOT ISSUE,
4,2021,Magic Girl,
4,2021,BLITZERS,
4,2021,WJSN THE BLACK,
4,2021,ICECREAM,
4,2021,E’LAST U,
4,2021,LAONZENA,
4,2021,MINIMANI,
4,2021,Re,
4,2021,EPEX,
4,2021,TOP GIRL,
4,2021,LIGHTSUM,
4,2021,OUTLET,
4,2021,OMEGA X,
4,2021,JUST B,
4,2021,MISS T,
4,2021,Perfume,
4,2021,Rumble.G,
4,2021,SSOA,
4,2021,Kizuna Simulation,
4,2021,SKYLE,
4,2021,PEAK & PITCH,
4,2021,Hi-L,
4,2021,Lemonade,
4,2021,SOLIA,
4,2021,Posh Girls,
4,2021,Pastel Girls,
4,2021,PRITTI-G,
4,2021,Azer-Blossom,
4,2021,KAIROS,
4,2021,Ferry Blue,
4,2021,ICHILLIN’,
4,2021,MEGAMAX,
4,2021,HyunA&DAWN,
4,2021,LUMINOUS,
4,2021,Sparkling,
4,2021,UNC,
4,2021,MANITO,
4,2021,Beauty Box,
4,2021,NIK,
4,2021,Nonstop,
4,2021,RHEA,
4,2021,BLE,
4,2021,Rookie,
4,2021,bugAboo,
4,2021,Billlie,
4,2021,lilli lilli,
4,2021,Kidols,
4,2021,Asia GirlS,
4,2021,IVE,
4,2021,Xdinary Heroes,
4,2021,MUZIGAE,
4,2021,Coupsis,
4,2021,On Top,
4,2021,Rocking Doll,
4,2021,Precious Daughters,
4,2022,LALA GIRLS,
4,2022,The Whales,
4,2022,Kep1er,
4,2022,GOT the beat,
4,2022,H1-KEY,
4,2022,TRENDZ,
4,2022,D-art,
4,2022,Silhouette,
4,2022,M.M.D,
4,2022,VIVIZ,
4,2022,With Me,
4,2022,JWiiver,
4,2022,NMIXX,
4,2022,BLACK LEVEL,
4,2022,TEMPEST,
4,2022,TAN,
4,2022,Fresh,
4,2022,Nine.i,
4,2022,ILY,
4,2022,AQA,
4,2022,YOUNITE,
4,2022,Pretty,
4,2022,LE SSERAFIM,
4,2022,CLASS,
4,2022,TNX,
4,2022,Blank2y,
4,2022,Rush,
4,2022,FAINIT,
4,2022,Girls’ World,
4,2022,LAPILLUS,
4,2022,SUPERKIND,
4,2022,IRRIS,
4,2022,Daisy,
4,2022,UiU,
4,2022,Red Balm,
4,2022,NewJeans,
4,2022,CSR,
4,2022,ATBO,
4,2022,Bubble,
4,2022,I1IT,
4,2022,Black Rose,
4,2022,Villain,
4,2022,Cupid,
4,2022,We;Na,
4,2022,mimiirose,
4,2022,Spirit,
4,2022,POA,
4,2022,DIGNITY,
4,2022,CocaNButter,
4,2022,Peach A!,
4,2022,Winny,
4,2022,ABLUE,
4,2022,Queenz Eye,
4,2022,Memoria,
4,2022,ARTBEAT,
4,2022,AIMERS,
4,2022,FIFTY FIFTY,
4,2022,Stars,
4,2022,XEED,
4,2022,SHINHWA WDJ,
4,2022,UNI,
5,2023,HANA,
5,2023,Cherish,
